scopeId,domain,domainName,category,feature,mandatory,layers,status,evidence
SCOPE-FE-003,S,Frontend e UX,FRONTEND,Integrations/Anthropic admin (FE),True,"FE,API,E2E",COMPLETE,"features/integrations,anthropic; e2e/api/anthropic-admin-api.spec.ts"
SCOPE-FE-004,S,Frontend e UX,FRONTEND,Auditoria/Segurança (FE),True,"FE,API",COMPLETE,"features/audit,security"
SCOPE-FE-005,S,Frontend e UX,FRONTEND,Permissões na UI,True,"FE,TEST",COMPLETE,components/RequirePermission; routes.tsx
SCOPE-FE-006,S,Frontend e UX,FRONTEND,Command palette + tour + drawers + a11y,True,"FE,E2E,A11Y",COMPLETE,"e2e/command-palette,detail-drawer; *.a11y.test.tsx"
SCOPE-FE-007,S,Frontend e UX,FRONTEND,Rotas demo-only (governança/aprovações/execuções/autoridade/evidência/exceções/work-units/risco/contexto/arquivos/deployment/pessoas/relatórios/orçamento/resultados),True,FE,MOCK_ONLY,useScopedData snapshot; app-store emptySnapshot em modo api
SCOPE-FE-008,S,Frontend e UX,FRONTEND,Assessment → operação,False,FE,MOCK_ONLY,v1-operations-repository.ts:291 lança em modo api; só funciona em demo
SCOPE-FE-009,S,Frontend e UX,FRONTEND,Avaliador,False,FE,MOCK_ONLY,EvaluatorPage usa estado local; nada persiste
SCOPE-FE-010,S,Frontend e UX,FRONTEND,Repositórios API órfãos,False,FE,PARTIAL,"repositories/approvals-api.ts,files-api.ts (dead wiring)"
SCOPE-API-001,T,Contratos de API,API,OpenAPI v1,True,"API,TEST",COMPLETE,docs/api/openapi-v1.yaml; contracts:openapi (zero drift)
SCOPE-API-002,T,Contratos de API,API,Cliente gerado + compat,True,"FE,TEST",COMPLETE,services/api/generated; *-client-compat.test.ts
SCOPE-API-003,T,Contratos de API,API,Envelope de erro + canário de segredo,True,"API,TEST",COMPLETE,contracts/*/secret-canary.contract.test.ts
SCOPE-DB-001,U,Persistência e migrations,DATABASE,Schema + migrations,True,"DB,TEST",COMPLETE,prisma/schema.prisma; migration.integration.spec
SCOPE-DB-002,U,Persistência e migrations,DATABASE,Idempotência + concorrência,True,"SVC,DB,TEST",COMPLETE,idempotency.integration.spec; operations-concurrency-idempotency.spec
SCOPE-DB-003,U,Persistência e migrations,DATABASE,Seed idempotente,True,"DB,TEST",PARTIAL,prisma/seed.ts:45 permission.upsert corre em re-seed concorrente (gap de test-harness; limpo passa)
SCOPE-SEC-001,V,Segurança,SECURITY,Isolamento de tenant (defesa em profundidade),True,"SVC,DB,TEST",COMPLETE,authz/guards; multitenancy + 20+ specs
SCOPE-SEC-002,V,Segurança,SECURITY,Master key preflight + readiness fail-closed,True,"SVC,TEST",COMPLETE,health.controller.ts; connector-master-key-preflight.service.ts
SCOPE-SEC-003,V,Segurança,SECURITY,Platform secret source,True,"SVC,TEST",COMPLETE,security/platform-secret-source.ts + spec
SCOPE-SEC-004,V,Segurança,SECURITY,Higiene de segredos,True,"CI,TEST",COMPLETE,ci.yml secrets job; canário em specs
SCOPE-SEC-005,V,Segurança,SECURITY,Redação de dados sensíveis,True,"SVC,TEST",COMPLETE,common/redaction/*; redaction.spec
SCOPE-INF-001,W,Infraestrutura e operação,OPERATIONAL,IaC provider-neutro,True,"DOC,TOOL",PREPARED,infra/; infrastructure:contracts:validate
SCOPE-INF-002,W,Infraestrutura e operação,OPERATIONAL,IaC específico de provedor,True,NONE,BLOCKED_BY_DECISION,depende do ADR-0001 (REQUIRES_BUSINESS_DECISION)
SCOPE-INF-003,W,Infraestrutura e operação,OPERATIONAL,Ambientes staging/production,True,NONE,BLOCKED_BY_DECISION,INFRASTRUCTURE_IMPLEMENTATION_PLAN 001.2B
SCOPE-INF-004,W,Infraestrutura e operação,OPERATIONAL,PostgreSQL gerenciado + HA,True,NONE,BLOCKED_BY_DECISION,MANAGED_POSTGRESQL_OPTIONS (documentado); não provisionado
SCOPE-INF-005,W,Infraestrutura e operação,OPERATIONAL,Pooling,True,"SVC,DOC",PREPARED,schema.prisma directUrl (implementado); pooler real 001.2B
SCOPE-INF-006,W,Infraestrutura e operação,OPERATIONAL,Backup + PITR,True,NONE,BLOCKED_BY_DECISION,DATABASE_BACKUP_AND_PITR_POLICY (documentado)
SCOPE-INF-007,W,Infraestrutura e operação,OPERATIONAL,Restore drill real,True,"TOOL,DOC",PREPARED,DATABASE_RESTORE_DRILL_PLAN; adapter fail-closed; drill offline de chave OK
SCOPE-INF-008,W,Infraestrutura e operação,OPERATIONAL,Secret manager externo,True,NONE,BLOCKED_BY_DECISION,fronteira PlatformSecretSource pronta; adapter depende de decisão
SCOPE-INF-009,W,Infraestrutura e operação,OPERATIONAL,Private networking + egress DENY,True,"DOC,TOOL",PREPARED,NETWORK_AND_EGRESS_DECISION; network-catalog validado; camada de plataforma 001.2B
SCOPE-INF-010,W,Infraestrutura e operação,OPERATIONAL,Observabilidade externa + alertas,True,"DOC,TOOL",PREPARED,OBSERVABILITY_EXPORT_CONTRACT; 19 alertas machine-readable; backend não selecionado
SCOPE-INF-011,W,Infraestrutura e operação,OPERATIONAL,Deploy + rollback,True,"TOOL,DOC",PREPARED,artifact:build/verify; deploy fail-closed; execução 001.2B
SCOPE-INF-012,W,Infraestrutura e operação,OPERATIONAL,On-call + incident response,True,DOC,DOCUMENTED_ONLY,runbooks + INCIDENT_RESPONSE; sem operação real
SCOPE-PRD-001,X,Produção e go-live,PRODUCTION,Gate de produção,True,NONE,BLOCKED_BY_DECISION,GO_LIVE_GATES (MISSING); entry gate FAIL
SCOPE-PRD-002,X,Produção e go-live,PRODUCTION,Decisão de infraestrutura,True,NONE,BLOCKED_BY_DECISION,REQUIRES_BUSINESS_DECISION; ADR PROPOSED
SCOPE-PRD-003,X,Produção e go-live,PRODUCTION,Restore drill PASS (produção),True,NONE,BLOCKED_BY_DECISION,depende de infra 001.2B
SCOPE-PRD-004,X,Produção e go-live,PRODUCTION,Anthropic produção comercial,True,NONE,BLOCKED_BY_EXTERNAL_PROVIDER,gates deferidos; DISABLED
SCOPE-PRD-005,X,Produção e go-live,PRODUCTION,Homologação (staging estável + smoke),True,NONE,BLOCKED_BY_DECISION,STAGING_ENTRY_CHECKLIST BLOCKED
